crop,country,iso3_code,aver_n_rate_kg_ha,COD,Agri-Footprint Region,Country,IPCC Climate Koppen,DE EF,DE EF Level,IE Volitisation Factor IPCC,IE EF Volatilization and redeposition,IE Leaching Factor IPCC,IE EF Leaching and runoff,EF urea IPCC,EF transport (global) (kgN/ kgCO2),EF production (global) (kgN/ kgCO2),ISO3,direct_emissions,indirect_emissions_VR,indirect_emissions_LR,indirect_emissions_total,production_emissions,transport_emissions,urea emissions,total_emissions
Fruit primary and citrus fruits and treenuts,Argentina,ARG,53.5165283707538,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,534.8594749739908,111.42905728624808,245.14392602974576,356.57298331599384,199.61665082291165,14.824078358698802,39.24545413855279,1145.118641610148
Grassland,Argentina,ARG,4.71967259558801,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,47.169756398191026,9.827032582956464,21.619471682504223,31.44650426546069,17.60437878154328,1.307349308977879,3.461093236764541,100.98908199093741
Maize,Argentina,ARG,48.669938990183,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,486.4212759647432,101.33776582598817,222.94308481717394,324.2808506431621,181.53887243338258,13.481573100280691,35.69128859280087,1041.4138607343693
Other cereals,Argentina,ARG,46.2706104855441,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,462.44170136695215,96.34202111811504,211.95244645985304,308.2944675779681,172.58937711107947,12.816959104495716,33.93178102273234,990.0742861832277
Residual,Argentina,ARG,10.3524468746317,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,103.46531190703342,21.555273313965294,47.421601290723636,68.97687460468893,38.614626842376246,2.8676277842729814,7.591794374729915,221.5162355131015
Rice,Argentina,ARG,55.8279238615367,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,557.9602219075867,116.24171289741395,255.7317683743106,371.97348127172455,208.2381560035319,15.464334909645668,40.94047749846025,1194.5766715909492
Roots/tubers,Argentina,ARG,152.75043735984,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,1526.6315139563437,318.0482320742383,699.7061105633243,1017.7543426375626,569.7591313522032,42.31187114867568,112.01698739721598,3268.4738464920015
Soybeans,Argentina,ARG,0.0,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugar cane,Argentina,ARG,88.2881730945434,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,882.3772270991794,183.82858897899573,404.42289575379056,588.2514847327863,329.31488564264686,24.455823947188524,64.74466026933183,1889.144081691133
Wheat,Argentina,ARG,66.4603463164072,9,Latin America,Argentina,dry,0.024,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,ARG,664.2236897565497,138.37993536594783,304.4358578050852,442.8157931710331,247.89709176019883,18.409515929644794,48.73758729869862,1422.0836779161252
Cottonseed,Australia,AUS,182.925085420215,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,761.7523199998953,380.8761599999477,837.9275519998847,1218.8037119998323,682.3105686174019,50.67024866139956,134.14506264149102,2847.6819119200204
Fruit primary and citrus fruits and treenuts,Australia,AUS,116.760341787972,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,486.22342330276905,243.11171165138452,534.845765633046,777.9574772844305,435.51607486913554,32.342614675268244,85.62425064451281,1817.6638407761163
Grassland,Australia,AUS,0.248447098827773,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,1.0346047044042261,0.5173023522021131,1.1380651748446486,1.6553675270467618,0.9267076786275933,0.06881984637529312,0.18219453914036687,3.8676942955942413
Maize,Australia,AUS,255.490071111769,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,1063.933653272581,531.9668266362905,1170.327018599839,1702.2938452361295,952.9779652468984,70.77074969796001,187.35938548196395,3977.335598935533
Other cereals,Australia,AUS,34.0598591515594,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,141.83498489542237,70.91749244771118,156.01848338496458,226.93597583267575,127.04327463531656,9.434580984981954,24.977230044476894,530.2260463928735
Other oil crops,Australia,AUS,39.4709773190526,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,164.36842697862622,82.18421348931311,180.8052696764888,262.9894831658019,147.2267454000662,10.93346071737757,28.94538336730524,614.4634996291771
Residual,Australia,AUS,107.129923316806,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,446.1196092406992,223.0598046203496,490.73157016476915,713.7913747851187,399.5946139716864,29.674988758755266,78.56194376565774,1667.7425305219174
Rice,Australia,AUS,98.2005208029805,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,408.9350259152688,204.4675129576344,449.8285285067957,654.2960414644301,366.2879425951173,27.201544262425603,72.01371525551905,1528.7342694927609
Soybeans,Australia,AUS,0.0,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugar cane,Australia,AUS,142.610764182895,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,593.8719679901985,296.93598399509926,653.2591647892183,950.1951487843176,531.9381504021983,39.50318167866192,104.58122706745633,2220.0896759228326
Wheat,Australia,AUS,39.1004143758674,12,Oceania,Australia,dry,0.01,Country,0.11,0.005,0.0,0.011,0.2,0.277,3.73,AUS,162.8252970080764,81.4126485040382,179.107826708884,260.5204752129222,145.84454562198542,10.83081478211527,28.673637208969428,608.6947698340687
Fruit primary and citrus fruits and treenuts,Austria,AUT,31.0,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,90.36500000000001,180.73000000000002,142.00214285714284,322.7321428571429,115.63,8.587000000000002,22.733333333333334,560.0474761904762
Grassland,Austria,AUT,7.63865546218487,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,22.266680672268894,44.53336134453779,34.990498199279685,79.52385954381748,28.492184873949565,2.115907563025209,5.6016806722689045,138.00031332533007
Maize,Austria,AUT,105.0,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,306.07499999999993,612.1499999999999,480.97499999999997,1093.1249999999998,391.65,29.085,77.0,1896.935
Maize green,Austria,AUT,90.639902676399,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,264.2153163017031,528.4306326034063,415.1954970455334,943.6261296489397,338.0868369829683,25.107253041362526,66.4692619626926,1637.5047979376664
Other cereals,Austria,AUT,73.8870571729218,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,215.38077165906705,430.7615433181341,338.455498321391,769.2170416395252,275.59872325499833,20.46671483689934,54.18384192680932,1334.8470933172991
Other oil crops,Austria,AUT,25.22,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,73.5163,147.0326,115.52561428571427,262.55821428571426,94.0706,6.98594,18.49466666666667,455.62572095238096
Pulses,Austria,AUT,1.0920745,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,3.1833971675,6.366794335,5.002481263214286,11.369275598214287,4.073437885000001,0.30250463650000003,0.8008546333333334,19.729469920547622
Rapeseed,Austria,AUT,118.0,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,343.97,687.94,540.5242857142857,1228.4642857142858,440.14,32.686,86.53333333333335,2131.7936190476194
Residual,Austria,AUT,34.9197075651622,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,101.7909475524478,203.5818951048956,159.9572032967037,363.5390984015993,130.250509218055,9.67275899554993,25.607785547785614,630.8610997154376
Roots/tubers,Austria,AUT,95.0,13,Europe,Austria,wet,0.007,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,AUT,276.92500000000007,553.8500000000001,435.16785714285714,989.0178571428573,354.35,26.315,69.66666666666667,1716.2745238095242
