COD,Agri-Footprint Region,Country,IPCC Climate Koppen,DE EF,DE EF Level,IE Volitisation Factor IPCC,IE EF Volatilization and redeposition,IE Leaching Factor IPCC,IE EF Leaching and runoff,EF urea IPCC,EF transport (global) (kgN/ kgCO2),EF production (global) (kgN/ kgCO2)
1,Middle East,Afghanistan,dry,0.009,Global,0.110,0.005,0.000,0.011,0.200,0.277,3.730
2,Europe,Albania,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
3,Africa,Algeria,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
4,Oceania,American_Samoa,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
5,Europe,Andorra,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
6,Africa,Angola,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
7,Latin America,Anguilla,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
8,Latin America,Antigua_and_Barbuda,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
9,Latin America,Argentina,dry,0.024,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
10,CIS,Armenia,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
11,Latin America,Aruba,dry,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
12,Oceania,Australia,dry,0.010,Country,0.110,0.005,0.000,0.011,0.200,0.277,3.730
13,Europe,Austria,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
14,CIS,Azerbaijan,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
15,Latin America,Bahamas,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
16,Middle East,Bahrain,dry,0.009,Global,0.110,0.005,0.000,0.011,0.200,0.277,3.730
17,South Asia,Bangladesh,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
18,Latin America,Barbados,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
19,CIS,Belarus,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
20,Europe,Belgium,wet,0.037,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
21,Latin America,Belize,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
22,Africa,Benin,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
23,Latin America,Bermuda,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
24,East Asia,Bhutan,wet,0.006,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
25,Latin America,Bolivia_(Plurinational_State_of),wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
26,Europe,Bosnia_and_Herzegovina,dry,0.007,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
27,Africa,Botswana,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
28,Latin America,Brazil,wet,0.017,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
29,Latin America,British_Virgin_Islands,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
30,East Asia,Brunei_Darussalam,wet,0.006,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
31,Europe,Bulgaria,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
32,Africa,Burkina_Faso,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
33,Africa,Burundi,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
34,Africa,Cabo_Verde,dry,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
35,East Asia,Cambodia,wet,0.006,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
36,Africa,Cameroon,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
37,North America,Canada,wet,0.014,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
38,Latin America,Cayman_Islands,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
39,Africa,Central_African_Republic,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
40,Africa,Chad,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
41,Europe,Channel_Islands,NA,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
42,Latin America,Chile,dry,0.024,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
43,East Asia,China,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
44,East Asia,"China,_Hong_Kong_SAR",wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
45,East Asia,"China,_Macao_SAR",wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
46,East Asia,"China,_mainland",wet,0.006,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
47,East Asia,"China,_Taiwan_Province_of",wet,0.006,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
48,Latin America,Colombia,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
49,Africa,Comoros,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
50,Africa,Congo,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
51,Oceania,Cook_Islands,wet,0.005,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
52,Latin America,Costa_Rica,wet,0.059,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
53,Africa,Côte_d'Ivoire,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
54,Europe,Croatia,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
55,Latin America,Cuba,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
56,Middle East,Cyprus,wet,0.009,Global,0.110,0.014,0.240,0.011,0.200,0.277,3.730
57,Europe,Czechia,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
58,East Asia,Democratic_People's_Republic_of_Korea,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
59,Africa,Democratic_Republic_of_the_Congo,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
60,Europe,Denmark,wet,0.008,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
61,Africa,Djibouti,dry,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
62,Latin America,Dominica,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
63,Latin America,Dominican_Republic,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
64,Latin America,Ecuador,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
65,Africa,Egypt,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
66,Latin America,El_Salvador,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
67,Africa,Equatorial_Guinea,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
68,Africa,Eritrea,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
69,Europe,Estonia,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
70,Africa,Eswatini,dry,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
71,Africa,Ethiopia,dry,0.003,Regional,0.110,0.005,0.000,0.011,0.200,0.277,3.730
72,Latin America,Falkland_Islands_(Malvinas),dry,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
73,Europe,Faroe_Islands,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
74,Oceania,Fiji,wet,0.005,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
75,Europe,Finland,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
76,Europe,France,wet,0.008,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
77,Latin America,French_Guiana,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
78,Oceania,French_Polynesia,wet,0.005,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
79,Africa,Gabon,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
80,Africa,Gambia,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
81,CIS,Georgia,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
82,Europe,Germany,wet,0.007,Country,0.110,0.014,0.240,0.011,0.200,0.277,3.730
83,Africa,Ghana,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
84,Europe,Gibraltar,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
85,Europe,Greece,wet,0.007,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
86,North America,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
87,Latin America,Grenada,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
88,Latin America,Guadeloupe,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
89,Oceania,Guam,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
90,Latin America,Guatemala,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
91,Africa,Guinea,wet,0.003,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
92,Africa,Guinea-Bissau,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
93,Latin America,Guyana,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
94,Latin America,Haiti,wet,NA,NA,NA,NA,NA,NA,NA,0.277,3.730
95,Latin America,Honduras,wet,0.024,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
96,Europe,Hungary,wet,0.002,Regional,0.110,0.014,0.240,0.011,0.200,0.277,3.730
